X,Y,FID,OBJECTID,Year,Region,StatArea,Section,LocationCo,LocationNa,SpawnNumbe,Eastings,Northings,Longitude,Latitude,Start,End_,Length,Width,Method,SurfSI,MacroSI,UnderSI,CombinedSI,gis_date,decade,year_txt
-13877830.2233,6348711.371,4866,17742,2003,SoG,14,143,825,Bowser,1, , ,-124.66667,49.433333,20030316000000,2003-03-19,4900,268,Dive,0,0,5823.793412,5823.793412,2003/01/02,2000s,2003
-13871426.4583,6342822.1677,4867,17743,2003,SoG,14,143,831,Big Qualicum Rvr,1, , ,-124.609144,49.398916,20030314000000,2003-03-20,7000,296,Dive,0,0,8771.495687,8771.495687,2003/01/02,2000s,2003
-13843375.5051,6334365.6185,4868,17744,2003,SoG,14,143,834,French Cr,1, , ,-124.357158,49.349453,20030323000000,NA,3500,342,Dive,0,0,6437.090156,6437.090156,2003/01/02,2000s,2003
-13858689.0595,6337022.7282,4869,17745,2003,SoG,14,143,835,Little Qualicum Rvr,1, , ,-124.494722,49.365,20030314000000,2003-03-20,2450,84,Dive,0,0,279.6835945,279.6835945,2003/01/02,2000s,2003
-13827488.6552,6328432.8375,4870,17746,2003,SoG,14,143,1500,Cottam Pt,1, , ,-124.214444,49.314722,20030323000000,NA,1890,88,Dive,0,0,466.074229,466.074229,2003/01/02,2000s,2003
-13830540.2565,6328106.1787,4871,17747,2003,SoG,14,143,1501,Madrona Pt,1, , ,-124.241857,49.312809,20030323000000,NA,2275,207,Dive,0,0,1612.560353,1612.560353,2003/01/02,2000s,2003
-13832825.2003,6328715.1097,4872,17748,2003,SoG,14,143,1502,Rathtrevor Beach,1, , ,-124.262383,49.316375,20030323000000,NA,2170,65,Dive,0,0,224.7961747,224.7961747,2003/01/02,2000s,2003
-13836054.1335,6330235.5803,4873,17749,2003,SoG,14,143,1594,Englishman Rvr,1, , ,-124.291389,49.325278,20030323000000,NA,3190,247,Dive,0,0,2342.834172,2342.834172,2003/01/02,2000s,2003
-13885560.3601,6354228.8986,4874,17750,2003,SoG,14,143,1677,Mapleguard Pt,1, , ,-124.736111,49.465556,20030316000000,2003-03-19,4200,342,Dive,0,0,3655.069622,3655.069622,2003/01/02,2000s,2003
-13838868.0676,6330757.3822,4875,17751,2003,SoG,14,143,1679,Parksville Bay,1, , ,-124.316667,49.328333,20030323000000,NA,1750,468,Dive,0,0,4167.192837,4167.192837,2003/01/02,2000s,2003
-13873598.6355,6344174.4523,4876,17752,2003,SoG,14,143,1815,Qualicum Bay,1, , ,-124.628657,49.406821,20030317000000,2003-03-20,3150,206,Dive,0,0,1189.484187,1189.484187,2003/01/02,2000s,2003
-13844611.8193,6335239.0376,4877,17753,2003,SoG,14,143,1908,Columbia Beach,1, , ,-124.368264,49.354564,20030323000000,NA,4200,352,Dive,0,0,4598.486135,4598.486135,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4878,17754,2003,SoG,15,151,1977,Toba Inlt,101, , ,-124.603889,50.410833,20030317000000,2003-03-21,138,3,Surface,29.59211556,0,0,29.59211556,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4879,17755,2003,SoG,15,151,1977,Toba Inlt,102, , ,-124.603889,50.410833,20030317000000,2003-03-21,116,3,Surface,48.13786908,0,0,48.13786908,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4880,17756,2003,SoG,15,151,1977,Toba Inlt,103, , ,-124.603889,50.410833,20030317000000,2003-03-21,240,3,Surface,51.4645488,0,0,51.4645488,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4881,17757,2003,SoG,15,151,1977,Toba Inlt,104, , ,-124.603889,50.410833,20030317000000,2003-03-21,106,2,Surface,22.73017572,0,0,22.73017572,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4882,17758,2003,SoG,15,151,1977,Toba Inlt,105, , ,-124.603889,50.410833,20030317000000,2003-03-21,55,2,Surface,11.7939591,0,0,11.7939591,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4883,17759,2003,SoG,15,151,1977,Toba Inlt,106, , ,-124.603889,50.410833,20030317000000,2003-03-21,55,2,Surface,22.82398965,0,0,22.82398965,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4884,17760,2003,SoG,15,151,1977,Toba Inlt,107, , ,-124.603889,50.410833,20030317000000,2003-03-21,205,2,Surface,208.4070303,0,0,208.4070303,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4885,17761,2003,SoG,15,151,1977,Toba Inlt,108, , ,-124.603889,50.410833,20030317000000,2003-03-21,57,2,Surface,35.08507548,0,0,35.08507548,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4886,17762,2003,SoG,15,151,1977,Toba Inlt,109, , ,-124.603889,50.410833,20030317000000,2003-03-21,41,2,Surface,25.23663324,0,0,25.23663324,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4887,17763,2003,SoG,15,151,1977,Toba Inlt,110, , ,-124.603889,50.410833,20030317000000,2003-03-21,44,2,Surface,9.43516728,0,0,9.43516728,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4888,17764,2003,SoG,15,151,1977,Toba Inlt,111, , ,-124.603889,50.410833,20030317000000,2003-03-21,61,2,Surface,13.08057282,0,0,13.08057282,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4889,17765,2003,SoG,15,151,1977,Toba Inlt,112, , ,-124.603889,50.410833,20030317000000,2003-03-21,30,2,Surface,12.4494489,0,0,12.4494489,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4890,17766,2003,SoG,15,151,1977,Toba Inlt,113, , ,-124.603889,50.410833,20030317000000,2003-03-21,30,2,Surface,18.4658292,0,0,18.4658292,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4891,17767,2003,SoG,15,151,1977,Toba Inlt,114, , ,-124.603889,50.410833,20030317000000,2003-03-21,97,2,Surface,59.70618108,0,0,59.70618108,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4892,17768,2003,SoG,15,151,1977,Toba Inlt,115, , ,-124.603889,50.410833,20030317000000,2003-03-21,34,2,Surface,27.7465041,0,0,27.7465041,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4893,17769,2003,SoG,15,151,1977,Toba Inlt,116, , ,-124.603889,50.410833,20030317000000,2003-03-21,177,2,Surface,73.45174851,0,0,73.45174851,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4894,17770,2003,SoG,15,151,1977,Toba Inlt,117, , ,-124.603889,50.410833,20030317000000,2003-03-21,133,2,Surface,81.86517612,0,0,81.86517612,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4895,17771,2003,SoG,15,151,1977,Toba Inlt,118, , ,-124.603889,50.410833,20030317000000,2003-03-21,42,2,Surface,25.85216088,0,0,25.85216088,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4896,17772,2003,SoG,15,151,1977,Toba Inlt,119, , ,-124.603889,50.410833,20030317000000,2003-03-21,87,2,Surface,53.55090468,0,0,53.55090468,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4897,17773,2003,SoG,15,151,1977,Toba Inlt,120, , ,-124.603889,50.410833,20030317000000,2003-03-21,181,2,Surface,147.7093306,0,0,147.7093306,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4898,17774,2003,SoG,15,151,1977,Toba Inlt,121, , ,-124.603889,50.410833,20030317000000,2003-03-21,123,2,Surface,125.0442182,0,0,125.0442182,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4899,17775,2003,SoG,15,151,1977,Toba Inlt,122, , ,-124.603889,50.410833,20030317000000,2003-03-21,31,2,Surface,25.29828315,0,0,25.29828315,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4900,17776,2003,SoG,15,151,1977,Toba Inlt,123, , ,-124.603889,50.410833,20030317000000,2003-03-21,25,2,Surface,15.388191,0,0,15.388191,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4901,17777,2003,SoG,15,151,1977,Toba Inlt,124, , ,-124.603889,50.410833,20030317000000,2003-03-21,38,2,Surface,23.39005032,0,0,23.39005032,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4902,17778,2003,SoG,15,151,1977,Toba Inlt,125, , ,-124.603889,50.410833,20030317000000,2003-03-21,28,2,Surface,11.61948564,0,0,11.61948564,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4903,17779,2003,SoG,15,151,1977,Toba Inlt,126, , ,-124.603889,50.410833,20030317000000,2003-03-21,27,2,Surface,22.03398855,0,0,22.03398855,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4904,17780,2003,SoG,15,151,1977,Toba Inlt,127, , ,-124.603889,50.410833,20030317000000,2003-03-21,21,2,Surface,12.92608044,0,0,12.92608044,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4905,17781,2003,SoG,15,151,1977,Toba Inlt,128, , ,-124.603889,50.410833,20030317000000,2003-03-21,150,2,Surface,122.4110475,0,0,122.4110475,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4906,17782,2003,SoG,15,151,1977,Toba Inlt,129, , ,-124.603889,50.410833,20030317000000,2003-03-21,60,2,Surface,36.9316584,0,0,36.9316584,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4907,17783,2003,SoG,15,151,1977,Toba Inlt,130, , ,-124.603889,50.410833,20030317000000,2003-03-21,89,2,Surface,36.93336507,0,0,36.93336507,2003/01/02,2000s,2003
